"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"264",12,"Colby Parkinson",LAR,"TE32","11","-","-","4 out of 5 stars","+39"
"265",12,"Jordan James",SF,"RB77","8","2 out of 5","4 out of 5","2 out of 5 stars","-36"
"266",12,"Chris Brooks",GB,"RB78","11","2 out of 5","4 out of 5","4 out of 5 stars","+141"
"267",12,"Samaje Perine",CIN,"RB79","6","2 out of 5","5 out of 5","2 out of 5 stars","+10"
"268",12,"Wil Lutz",DEN,"K16","10","-","-","1 out of 5 stars","-61"
"269",12,"Will Reichard",MIN,"K17","6","-","-","2 out of 5 stars","-81"
"270",12,"Tyquan Thornton",KC,"WR96","5","2 out of 5","5 out of 5","2 out of 5 stars","+148"
"271",12,"Tory Horton",SEA,"WR97","11","3 out of 5","4 out of 5","3 out of 5 stars","+25"
"272",12,"Malik Davis",DAL,"RB80","14","-","-","4 out of 5 stars","+133"
"273",12,"Tua Tagovailoa",ATL,"QB31","11","2 out of 5","5 out of 5","4 out of 5 stars","+12"
"274",12,"Christian Kirk",SF,"WR98","8","2 out of 5","4 out of 5","2 out of 5 stars","-18"
"275",12,"Darius Slayton",NYG,"WR99","8","2 out of 5","4 out of 5","4 out of 5 stars","+198"
"276",12,"Mason Taylor",NYJ,"TE33","13","1 out of 5","4 out of 5","4 out of 5 stars","+8"
"277",12,"Kaleb Johnson",GB,"RB81","11","2 out of 5","5 out of 5","4 out of 5 stars","+59"
"278",12,"Xavier Legette",CAR,"WR100","5","2 out of 5","4 out of 5","2 out of 5 stars","+189"
"279",12,"Elijah Sarratt",BAL,"WR101","13","4 out of 5","4 out of 5","4 out of 5 stars","+47"
"280",12,"Devin Neal",NO,"RB82","8","2 out of 5","4 out of 5","3 out of 5 stars","+51"
"281",12,"Marvin Mims Jr.",DEN,"WR102","10","3 out of 5","4 out of 5","2 out of 5 stars","+10"
"282",12,"Michael Penix Jr.",ATL,"QB32","11","2 out of 5","5 out of 5","4 out of 5 stars","-1"
"283",12,"Atlanta Falcons",ATL,"DST17","11","-","-","4 out of 5 stars","-50"
"284",12,"DJ Giddens",IND,"RB83","13","2 out of 5","4 out of 5","4 out of 5 stars","+146"
"285",12,"Theo Johnson",NYG,"TE34","8","1 out of 5","5 out of 5","3 out of 5 stars","+30"
"286",12,"San Francisco 49ers",SF,"DST18","8","-","-","3 out of 5 stars","-56"
"287",12,"Kirk Cousins",LV,"QB33","13","2 out of 5","4 out of 5","1 out of 5 stars","+13"
"288",12,"Seth McGowan",IND,"RB84","13","4 out of 5","4 out of 5","4 out of 5 stars","+20"
"289",12,"Deshaun Watson",CLE,"QB34","11","1 out of 5","5 out of 5","4 out of 5 stars","+95"
"290",12,"Eli Stowers",PHI,"TE35","10","4 out of 5","4 out of 5","4 out of 5 stars","-32"
"291",12,"Kyle Williams",NE,"WR103","11","3 out of 5","4 out of 5","2 out of 5 stars","-34"
"292",12,"Kendre Miller",NO,"RB85","8","2 out of 5","4 out of 5","3 out of 5 stars","+33"
"293",12,"New Orleans Saints",NO,"DST19","8","-","-","5 out of 5 stars","-45"
"294",12,"Shedeur Sanders",CLE,"QB35","11","3 out of 5","4 out of 5","4 out of 5 stars","-45"
"295",12,"Brashard Smith",KC,"RB86","5","-","-","3 out of 5 stars","+40"
"296",12,"Emari Demercado",KC,"RB87","5","1 out of 5","5 out of 5","3 out of 5 stars","+74"
"297",12,"Adam Randall",BAL,"RB88","13","4 out of 5","4 out of 5","3 out of 5 stars","+349"
"298",12,"Hollywood Brown",PHI,"WR104","10","-","-","4 out of 5 stars","+4"
"299",12,"Devin Singletary",NYG,"RB89","8","1 out of 5","5 out of 5","4 out of 5 stars","-20"
"300",12,"Mike Gesicki",CIN,"TE36","6","-","-","3 out of 5 stars","+57"
"301",12,"Mack Hollins",NE,"WR105","11","-","-","2 out of 5 stars","+336"
"302",13,"Isaiah Bond",CLE,"WR106","11","-","-","3 out of 5 stars","+268"
"303",13,"Indianapolis Colts",IND,"DST20","13","-","-","5 out of 5 stars","-32"
"304",13,"Trey Benson",ARI,"RB90","14","1 out of 5","5 out of 5","2 out of 5 stars","+12"
"305",13,"Skyler Bell",BUF,"WR107","7","-","-","4 out of 5 stars","+27"
"306",13,"Brandon Aiyuk",SF,"WR108","8","2 out of 5","5 out of 5","2 out of 5 stars","-36"
"307",13,"Jake Tonges",SF,"TE37","8","-","-","3 out of 5 stars","-9"
"308",13,"Trevor Etienne",CAR,"RB91","5","-","-","1 out of 5 stars","+322"
"309",13,"Darren Waller",CAR,"TE38","5","-","-","2 out of 5 stars","+94"
"310",13,"Andrei Iosivas",CIN,"WR109","6","-","-","4 out of 5 stars","+100"
"311",13,"Jarquez Hunter",MIA,"RB92","6","-","-","3 out of 5 stars","+83"
"312",13,"Jaleel McLaughlin",DEN,"RB93","10","-","-","2 out of 5 stars","+313"
"313",13,"Chicago Bears",CHI,"DST21","10","-","-","2 out of 5 stars","-118"
"314",13,"Charlie Smyth",NO,"K18","8","-","-","5 out of 5 stars","+69"
"315",13,"Audric Estime",NO,"RB94","8","-","-","3 out of 5 stars","+15"
"316",13,"DeMario Douglas",NE,"WR110","11","-","-","2 out of 5 stars","+273"
"317",13,"Isaac Guerendo",SF,"RB95","8","-","-","2 out of 5 stars","+240"
"318",13,"Jerome Ford",WAS,"RB96","7","2 out of 5","4 out of 5","4 out of 5 stars","+282"
"319",13,"Darnell Washington",PIT,"TE39","9","-","-","2 out of 5 stars","-30"
"320",13,"Tyreek Hill",FA,"WR111","-","1 out of 5","5 out of 5","-","-76"
"321",13,"Tahj Brooks",CIN,"RB97","6","-","-","2 out of 5 stars","+160"
"322",13,"Michael Mayer",LV,"TE40","13","-","-","3 out of 5 stars","+155"
"323",13,"Jahan Dotson",ATL,"WR112","11","-","-","3 out of 5 stars","+217"
"324",13,"Will Shipley",PHI,"RB98","10","-","-","4 out of 5 stars","+204"
"325",13,"Oscar Delp",NO,"TE41","8","4 out of 5","4 out of 5","2 out of 5 stars","+236"
"326",13,"Charlie Kolar",LAC,"TE42","7","-","-","4 out of 5 stars","+72"
"327",13,"Elijah Arroyo",SEA,"TE43","11","-","-","3 out of 5 stars","+14"
"328",13,"Bryce Lance",NO,"WR113","8","-","-","3 out of 5 stars","+52"
"329",13,"Jalen Tolbert",MIA,"WR114","6","-","-","3 out of 5 stars","+187"
"330",13,"Xavier Hutchinson",HOU,"WR115","8","-","-","3 out of 5 stars","+314"
"331",13,"Dallas Cowboys",DAL,"DST22","14","-","-","1 out of 5 stars","-141"
"332",13,"Carson Beck",ARI,"QB36","14","-","-","2 out of 5 stars","+90"
"333",13,"Cole Kmet",CHI,"TE44","10","-","-","2 out of 5 stars","-43"
"334",13,"Konata Mumpfield",LAR,"WR116","11","-","-","1 out of 5 stars","+15"
"335",13,"Tez Johnson",TB,"WR117","10","-","-","4 out of 5 stars","+191"
"336",13,"J.J. McCarthy",MIN,"QB37","6","-","-","5 out of 5 stars","-85"
"337",13,"Erick All Jr.",CIN,"TE45","6","-","-","3 out of 5 stars","-"
"338",13,"Eli Raridon",NE,"TE46","11","-","-","4 out of 5 stars","+10"
"339",13,"Jalen Royals",KC,"WR118","5","-","-","2 out of 5 stars","+97"
"340",13,"Olamide Zaccheaus",ATL,"WR119","11","-","-","3 out of 5 stars","+281"
"341",13,"Joe Mixon",FA,"RB99","-","-","-","-","-78"
"342",13,"Tyler Higbee",LAR,"TE47","11","-","-","4 out of 5 stars","-9"
"343",13,"Kareem Hunt",FA,"RB100","-","-","-","-","+73"
"344",13,"Cedric Tillman",FA,"WR120","-","-","-","-","-"
"345",13,"Luke McCaffrey",WAS,"WR121","7","-","-","2 out of 5 stars","-24"
"346",13,"Dawson Knox",BUF,"TE48","7","-","-","3 out of 5 stars","-27"
"347",13,"Bam Knight",ARI,"RB101","14","-","-","2 out of 5 stars","-"
"348",13,"Kendrick Bourne",ARI,"WR122","14","-","-","2 out of 5 stars","+293"
"349",13,"Chris Brazzell II",CAR,"WR123","5","-","-","2 out of 5 stars","+305"
"350",14,"Joshua Palmer",BUF,"WR124","7","-","-","4 out of 5 stars","-10"
"351",14,"Brenen Thompson",LAC,"WR125","7","-","-","2 out of 5 stars","+239"
"352",14,"Max Klare",LAR,"TE49","11","-","-","4 out of 5 stars","-1"
"353",14,"Mac Jones",SF,"QB38","8","-","-","1 out of 5 stars","-10"
"354",14,"Noah Gray",KC,"TE50","5","-","-","4 out of 5 stars","+9"
"355",14,"Treylon Burks",WAS,"WR126","7","-","-","2 out of 5 stars","+292"
"356",14,"Ja'Tavion Sanders",CAR,"TE51","5","-","-","2 out of 5 stars","-9"
"357",14,"Jake Elliott",PHI,"K19","10","-","-","5 out of 5 stars","-116"
"358",14,"Tyler Bass",BUF,"K20","7","-","-","2 out of 5 stars","-132"
"359",14,"Eli Heidenreich",PIT,"RB102","9","-","-","2 out of 5 stars","+314"
"360",14,"Michael Carter",TEN,"RB103","9","-","-","3 out of 5 stars","+176"
"361",14,"Roman Wilson",PIT,"WR127","9","-","-","3 out of 5 stars","+108"
"362",14,"Justin Fields",KC,"QB39","5","-","-","2 out of 5 stars","-38"
"363",14,"Malik Benson",LV,"WR128","13","-","-","2 out of 5 stars","+170"
"364",14,"Carolina Panthers",CAR,"DST23","5","-","-","3 out of 5 stars","-112"
"365",14,"Ty Simpson",LAR,"QB40","11","-","-","3 out of 5 stars","-105"
"366",14,"Jawhar Jordan",FA,"RB104","-","-","-","-","+268"
"367",14,"New York Giants",NYG,"DST24","8","-","-","1 out of 5 stars","-148"
"368",14,"Trey Smack",GB,"K21","11","-","-","4 out of 5 stars","-156"
"369",14,"Savion Williams",GB,"WR129","11","-","-","5 out of 5 stars","+259"
"370",14,"Cincinnati Bengals",CIN,"DST25","6","-","-","4 out of 5 stars","-116"
"371",14,"Tampa Bay Buccaneers",TB,"DST26","10","-","-","4 out of 5 stars","-89"
"372",14,"Justin Joly",FA,"TE52","-","-","-","-","+47"
"373",14,"Kalif Raymond",CHI,"WR130","10","-","-","3 out of 5 stars","+88"
"374",14,"Raheim Sanders",CLE,"RB105","11","-","-","3 out of 5 stars","+236"
"375",14,"Kevin Coleman Jr.",MIA,"WR131","6","-","-","3 out of 5 stars","+205"
"376",14,"KaVontae Turpin",DAL,"WR132","14","-","-","2 out of 5 stars","-23"
"377",14,"Dont'e Thornton Jr.",LV,"WR133","13","-","-","2 out of 5 stars","+198"
"378",14,"Zane Gonzalez",FA,"K22","-","-","-","-","+201"
"379",14,"Anthony Richardson Sr.",IND,"QB41","13","-","-","4 out of 5 stars","+100"
"380",14,"Zavion Thomas",CHI,"WR134","10","-","-","3 out of 5 stars","-43"
"381",14,"Tennessee Titans",TEN,"DST27","9","-","-","2 out of 5 stars","-114"
"382",14,"Colbie Young",CIN,"WR135","6","-","-","4 out of 5 stars","-53"
"383",14,"J'Mari Taylor",JAC,"RB106","7","-","-","4 out of 5 stars","-"
"384",14,"Roschon Johnson",CHI,"RB107","10","-","-","2 out of 5 stars","+276"
"385",14,"John Metchie III",CAR,"WR136","5","-","-","2 out of 5 stars","+231"
"386",14,"Noah Fant",NO,"TE53","8","-","-","2 out of 5 stars","+38"
"387",14,"Tutu Atwell",LAR,"WR137","11","-","-","1 out of 5 stars","+225"
"388",14,"Jaylin Lane",WAS,"WR138","7","-","-","2 out of 5 stars","+219"
"389",14,"Joe Flacco",CIN,"QB42","6","-","-","3 out of 5 stars","-72"
"390",14,"Kyle Juszczyk",SF,"RB108","8","-","-","2 out of 5 stars","-4"
"391",14,"Jameis Winston",NYG,"QB43","8","-","-","4 out of 5 stars","-86"
"392",14,"CJ Daniels",LAR,"WR139","11","-","-","1 out of 5 stars","-31"
"393",14,"Blake Grupe",FA,"K23","-","-","-","-","-87"
"394",14,"Luke Musgrave",GB,"TE54","11","-","-","2 out of 5 stars","-7"
"395",14,"Demarcus Robinson",SF,"WR140","8","-","-","2 out of 5 stars","+44"
"396",14,"Nick Westbrook-Ikhine",IND,"WR141","13","-","-","4 out of 5 stars","+243"
"397",14,"Washington Commanders",WAS,"DST28","7","-","-","2 out of 5 stars","-123"
"398",14,"Phil Mafah",FA,"RB109","-","-","-","-","-"
"399",14,"Ashton Dulin",IND,"WR142","13","-","-","4 out of 5 stars","+186"
"400",14,"Nick Folk",ATL,"K24","11","-","-","0 out of 5 stars","-134"
"401",14,"Devontez Walker",BAL,"WR143","13","-","-","4 out of 5 stars","-91"
"402",14,"Tommy Tremble",CAR,"TE55","5","-","-","2 out of 5 stars","-30"
"403",14,"Marcus Mariota",WAS,"QB44","7","-","-","2 out of 5 stars","+98"
"404",14,"Odell Beckham Jr.",NYG,"WR144","8","-","-","4 out of 5 stars","-62"
"405",14,"Daniel Carlson",NO,"K25","8","-","-","5 out of 5 stars","-"
"406",14,"Ryan Fitzgerald",CAR,"K26","5","-","-","0 out of 5 stars","-83"
"407",14,"John Bates",WAS,"TE56","7","-","-","1 out of 5 stars","+174"
"408",14,"Sione Vaki",DET,"RB110","6","-","-","5 out of 5 stars","+255"
"409",14,"Joey Slye",TEN,"K27","9","-","-","4 out of 5 stars","-98"
"410",14,"Chad Ryland",ARI,"K28","14","-","-","2 out of 5 stars","-103"
"411",14,"Barion Brown",NO,"WR145","8","-","-","3 out of 5 stars","-67"
"412",14,"Brandon McManus",FA,"K29","-","-","-","-","-21"
"413",14,"Rasheen Ali",BAL,"RB111","13","-","-","3 out of 5 stars","-"
"414",14,"Tyler Goodson",ATL,"RB112","11","-","-","2 out of 5 stars","-"
"415",14,"Joe Milton III",DAL,"QB45","14","-","-","2 out of 5 stars","-27"
"416",14,"Jam Miller",FA,"RB113","-","-","-","-","+137"
"417",14,"Spencer Shrader",IND,"K30","13","-","-","4 out of 5 stars","-104"
"418",14,"Jacob Saylors",DET,"RB114","6","-","-","5 out of 5 stars","-"
"419",14,"Ben Sinnott",WAS,"TE57","7","-","-","1 out of 5 stars","+172"
"420",15,"Jordan Whittington",LAR,"WR146","11","-","-","1 out of 5 stars","-66"
"421",15,"Terrell Jennings",FA,"RB115","-","-","-","-","-"
"422",15,"Greg Dortch",FA,"WR147","-","-","-","-","+43"
"423",15,"Daniel Bellinger",TEN,"TE58","9","-","-","3 out of 5 stars","+179"
"424",15,"Elijah Higgins",ARI,"TE59","14","-","-","2 out of 5 stars","-56"
"425",15,"Cade Klubnik",NYJ,"QB46","13","-","-","4 out of 5 stars","-23"
"426",15,"Austin Hooper",ATL,"TE60","11","-","-","3 out of 5 stars","+138"
"427",15,"Dameon Pierce",FA,"RB116","-","-","-","-","-"
"428",15,"Las Vegas Raiders",LV,"DST29","13","-","-","4 out of 5 stars","-163"
"429",15,"Isaiah Williams",NYJ,"WR148","13","-","-","4 out of 5 stars","-"
"430",15,"Ben Sauls",NYG,"K31","8","-","-","2 out of 5 stars","-129"
"431",15,"Mitchell Evans",CAR,"TE61","5","-","-","2 out of 5 stars","-"
"432",15,"Miami Dolphins",MIA,"DST30","6","-","-","3 out of 5 stars","-149"
"433",15,"Drew Stevens",WAS,"K32","7","-","-","5 out of 5 stars","-129"
"434",15,"Dyami Brown",WAS,"WR149","7","-","-","2 out of 5 stars","+142"
"435",15,"Hunter Luepke",DAL,"RB117","14","-","-","4 out of 5 stars","+159"
"436",15,"Tommy Myers",FA,"TE62","-","-","-","-","-"
"437",15,"Austin Ekeler",FA,"RB118","-","-","-","-","+97"
"438",15,"New York Jets",NYJ,"DST31","13","-","-","4 out of 5 stars","-49"
"439",15,"Deion Burks",IND,"WR150","13","-","-","4 out of 5 stars","-"
"440",15,"Zavier Scott",MIN,"RB119","6","-","-","4 out of 5 stars","-"
"441",15,"Dylan Laube",LV,"RB120","13","-","-","2 out of 5 stars","-"
"442",15,"Van Jefferson",FA,"WR151","-","-","-","-","+68"
"443",15,"Damien Martinez",GB,"RB121","11","-","-","4 out of 5 stars","-"
"444",15,"Jake Moody",FA,"K33","-","-","-","-","-117"
"445",15,"Zach Ertz",FA,"TE63","-","-","-","-","+96"
"446",15,"Jason Sanders",NYJ,"K34","13","-","-","2 out of 5 stars","-151"
"447",15,"Jonnu Smith",GB,"TE64","11","-","-","2 out of 5 stars","-46"
"448",15,"Tai Felton",MIN,"WR152","6","-","-","5 out of 5 stars","+37"
"449",15,"Marlin Klein",HOU,"TE65","8","-","-","4 out of 5 stars","-12"
"450",15,"Matt Hibner",BAL,"TE66","13","-","-","4 out of 5 stars","-"
"451",15,"Isaiah Williams",FA,"WR153","-","-","-","-","-"
"452",15,"Alec Ingold",LAC,"RB122","7","-","-","3 out of 5 stars","-"
"453",15,"Reggie Gilliam",NE,"RB123","11","-","-","2 out of 5 stars","+171"
"454",15,"Jeremy McNichols",WAS,"RB124","7","-","-","4 out of 5 stars","-"
"455",15,"Josh Williams",TB,"RB125","10","-","-","2 out of 5 stars","-121"
"456",15,"Arizona Cardinals",ARI,"DST32","14","-","-","2 out of 5 stars","-159"
"457",15,"Elijah Moore",PHI,"WR154","10","-","-","4 out of 5 stars","+195"
"458",15,"Jahdae Walker",CHI,"WR155","10","-","-","3 out of 5 stars","-43"
"459",15,"Riley Leonard",IND,"QB47","13","-","-","4 out of 5 stars","+55"
"460",15,"Khalil Herbert",SF,"RB126","8","-","-","2 out of 5 stars","+195"
"461",15,"Patrick Ricard",NYG,"RB127","8","-","-","4 out of 5 stars","+33"
"462",15,"Antonio Gibson",FA,"RB128","-","-","-","-","+222"
"463",15,"Tyler Badie",DEN,"RB129","10","-","-","2 out of 5 stars","-"
"464",15,"Will Kacmarek",MIA,"TE67","6","-","-","5 out of 5 stars","-69"
"465",15,"Ronnie Rivers",LAR,"RB130","11","-","-","5 out of 5 stars","+194"
"466",15,"Theo Wease Jr.",FA,"WR156","-","-","-","-","-"
"467",15,"DeAndre Hopkins",BAL,"WR157","13","-","-","4 out of 5 stars","+68"
"468",15,"Gardner Minshew II",ARI,"QB48","14","-","-","2 out of 5 stars","+37"
"469",15,"Josh Oliver",MIN,"TE68","6","-","-","4 out of 5 stars","-111"
"470",15,"Max Bredeson",MIN,"RB131","6","-","-","4 out of 5 stars","+89"
"471",15,"Dohnte Meyers",CIN,"WR158","6","-","-","4 out of 5 stars","-"
"472",15,"Tyler Lockett",LV,"WR159","13","-","-","2 out of 5 stars","-"
"473",15,"Adam Prentice",DEN,"RB132","10","-","-","2 out of 5 stars","-"
"474",15,"Jordan Watkins",SF,"WR160","8","-","-","2 out of 5 stars","-"
"475",15,"Xavier Restrepo",TEN,"WR161","9","-","-","3 out of 5 stars","-"
"476",15,"Jacob Cowing",SF,"WR162","8","-","-","2 out of 5 stars","-"
"477",15,"Xavier Smith",LAR,"WR163","11","-","-","1 out of 5 stars","+68"
"478",15,"Lew Nichols III",PIT,"RB133","9","-","-","2 out of 5 stars","-"
"479",15,"British Brooks",HOU,"RB134","8","-","-","4 out of 5 stars","-"
"480",15,"Cade Stover",HOU,"TE69","8","-","-","4 out of 5 stars","-14"
"481",15,"Jimmy Horn Jr.",CAR,"WR164","5","-","-","2 out of 5 stars","-73"
"482",15,"Tim Patrick",NYJ,"WR165","13","-","-","4 out of 5 stars","+161"
"483",15,"Tyrod Taylor",GB,"QB49","11","-","-","4 out of 5 stars","-138"
"484",15,"Marquez Valdes-Scantling",FA,"WR166","-","-","-","-","+19"
"485",15,"Jackson Hawes",BUF,"TE70","7","-","-","3 out of 5 stars","-11"
"486",16,"Tanner Koziol",JAC,"TE71","7","-","-","3 out of 5 stars","+64"
"487",16,"Moliki Matavao",NO,"TE72","8","-","-","2 out of 5 stars","-"
"488",16,"Chris Blair",ATL,"WR167","11","-","-","3 out of 5 stars","-"
"489",16,"Jake Browning",FA,"QB50","-","-","-","-","+2"
"490",16,"Michael Woods II",DEN,"WR168","10","-","-","2 out of 5 stars","-"
"491",16,"Jack Strand",ATL,"QB51","11","-","-","4 out of 5 stars","-45"
"492",16,"Sam Roush",CHI,"TE73","10","-","-","2 out of 5 stars","-6"
"493",16,"Quinn Ewers",JAC,"QB52","7","-","-","4 out of 5 stars","-127"
"494",16,"Mitch Tinsley",FA,"WR169","-","-","-","-","+117"
"495",16,"Drew Sample",CIN,"TE74","6","-","-","3 out of 5 stars","-32"
"496",16,"Adam Trautman",DEN,"TE75","10","-","-","4 out of 5 stars","-92"
"497",16,"Jalen Reagor",MIA,"WR170","6","-","-","3 out of 5 stars","-"
"498",16,"Dominic Zvada",NYG,"K35","8","-","-","2 out of 5 stars","-138"
"499",16,"Josh Cameron",JAC,"WR171","7","-","-","4 out of 5 stars","+30"
"500",16,"Kene Nwangwu",NYJ,"RB135","13","-","-","3 out of 5 stars","-"
"501",16,"Reggie Virgil",ARI,"WR172","14","-","-","2 out of 5 stars","+122"
"502",16,"Frank Gore Jr.",FA,"RB136","-","-","-","-","+163"
"503",16,"Cash Jones",ATL,"RB137","11","-","-","2 out of 5 stars","-"
"504",16,"Durham Smythe",BAL,"TE76","13","-","-","4 out of 5 stars","+21"
"505",16,"Michael Burton",CLE,"RB138","11","-","-","3 out of 5 stars","+100"
"506",16,"Tyson Bagent",CHI,"QB53","10","-","-","3 out of 5 stars","+66"
"507",16,"Luke Schoonmaker",DAL,"TE77","14","-","-","2 out of 5 stars","-140"
"508",16,"Nate Boerkircher",JAC,"TE78","7","-","-","3 out of 5 stars","+80"
"509",16,"Jeremy Ruckert",NYJ,"TE79","13","-","-","4 out of 5 stars","+83"
"510",16,"KeAndre Lambert-Smith",LAC,"WR173","7","-","-","2 out of 5 stars","-34"
"511",16,"Tyler Conklin",DET,"TE80","6","-","-","3 out of 5 stars","+104"
"512",16,"Tanner Hudson",CIN,"TE81","6","-","-","3 out of 5 stars","+74"
"513",16,"Noah Whittington",FA,"RB139","-","-","-","-","-"
"514",16,"Jaret Patterson",LAC,"RB140","7","-","-","3 out of 5 stars","-"
"515",16,"Davis Mills",HOU,"QB54","8","-","-","4 out of 5 stars","-"
"516",16,"Jaydn Ott",KC,"RB141","5","-","-","3 out of 5 stars","-"
"517",16,"Trey Lance",LAC,"QB55","7","-","-","2 out of 5 stars","-132"
"518",16,"Velus Jones Jr.",SEA,"WR174","11","-","-","3 out of 5 stars","-"
"519",16,"Lil'Jordan Humphrey",DEN,"WR175","10","-","-","2 out of 5 stars","-191"
